Green lookup:
Start,End,Value
0,23,11
23,35,29
35,44,39
44,53,48
53,62,57
62,74,68
74,95,84
95,110,102
110,126,118
126,143,134
143,169,156
169,219,194
219,245,232
245,245,245
245,245,245
245,250,247
Blue lookup:
Start,End,Value
0,35,17
35,50,42
50,60,55
60,68,64
68,77,72
77,85,81
85,95,90
95,108,101
108,131,119
131,154,142
154,186,170
186,214,200
214,233,223
233,233,233
233,233,233
233,254,243
Red lookup:
Start,End,Value
0,34,17
34,46,40
46,75,60
75,100,87
100,123,111
123,144,133
144,160,152
160,172,166
172,187,179
187,197,192
197,209,203
209,229,219
229,247,238
247,247,247
247,247,247
247,255,251
